tpm,timestamp
41742,14:35:44
45738,14:35:54
33282,14:36:04
30096,14:36:14
23388,14:36:25
35808,14:36:35
36324,14:36:45
40074,14:36:55
49416,14:37:05
62580,14:37:15
87948,14:37:25
95028,14:37:35
114516,14:37:45
122826,14:37:56
132756,14:38:06
134184,14:38:16
145782,14:38:26
147570,14:38:36
136878,14:38:46
150246,14:38:56
141462,14:39:06
136518,14:39:17
156396,14:39:27
149748,14:39:37
91626,14:39:47
129756,14:39:57
140076,14:40:07
146028,14:40:17
110790,14:40:27
152700,14:40:37
153732,14:40:48
142050,14:40:58
148998,14:41:08
153246,14:41:18
150708,14:41:28
155352,14:41:38
140580,14:41:48
143796,14:41:58
140526,14:42:09
136758,14:42:19
145590,14:42:29
146784,14:42:39
150306,14:42:49
140736,14:42:59
141348,14:43:09
147900,14:43:19
145386,14:43:29
145830,14:43:40
140508,14:43:50
141546,14:44:00
146142,14:44:10
78582,14:44:20
147138,14:44:30
141624,14:44:40
156450,14:44:50
141816,14:45:01
147084,14:45:11
139500,14:45:21
143880,14:45:31
87966,14:45:41
