tpm,timestamp
11136,17:56:17
13890,17:56:27
13374,17:56:37
13986,17:56:48
8004,17:56:58
10992,17:57:08
13572,17:57:18
13710,17:57:28
13194,17:57:38
13782,17:57:48
9210,17:57:58
3666,17:58:09
12792,17:58:19
13380,17:58:29
13236,17:58:39
12930,17:58:49
13254,17:58:59
6336,17:59:09
12888,17:59:19
13506,17:59:30
13092,17:59:40
13320,17:59:50
13056,18:00:00
6780,18:00:10
12552,18:00:20
12918,18:00:30
13386,18:00:41
13398,18:00:51
13002,18:01:01
7848,18:01:11
11250,18:01:21
12612,18:01:31
13746,18:01:41
13482,18:01:51
12750,18:02:02
9540,18:02:12
9276,18:02:22
13566,18:02:32
12834,18:02:42
13452,18:02:52
13350,18:03:02
10962,18:03:12
8400,18:03:23
13344,18:03:33
12684,18:03:43
13338,18:03:53
13632,18:04:03
12078,18:04:13
6114,18:04:23
13218,18:04:33
13380,18:04:44
12372,18:04:54
13176,18:05:04
13116,18:05:14
5484,18:05:24
13506,18:05:34
13590,18:05:44
13014,18:05:55
12780,18:06:05
12282,18:06:15
5250,18:06:25
3552,18:07:32
