Timestamp,CPU_Usage_Percent,RAM_Used_MB 
2025-06-08_16:20:21,28,6238 
2025-06-08_16:20:24,14,6269 
2025-06-08_16:20:35,96,6700 
2025-06-08_16:20:47,77,6921 
2025-06-08_16:20:59,94,6908 
2025-06-08_16:21:11,87,6934 
2025-06-08_16:21:23,10,6742 
2025-06-08_16:21:35,90,6843 
2025-06-08_16:21:47,91,6812 
2025-06-08_16:21:59,74,6723 
2025-06-08_16:22:11,85,6873 
2025-06-08_16:22:23,79,6978 
2025-06-08_16:22:35,56,6831 
2025-06-08_16:22:47,36,6718 
2025-06-08_16:22:59,53,6969 
2025-06-08_16:23:10,69,6955 
2025-06-08_16:23:21,54,6815 
2025-06-08_16:23:32,34,6634 
2025-06-08_16:23:43,70,6710 
2025-06-08_16:23:55,49,6951 
2025-06-08_16:24:06,96,6923 
2025-06-08_16:24:17,5,6944 
2025-06-08_16:24:28,62,6704 
2025-06-08_16:24:40,68,6744 
2025-06-08_16:24:52,35,6939 
2025-06-08_16:25:04,8,6577 
2025-06-08_16:25:16,88,6559 
2025-06-08_16:25:28,8,6627 
2025-06-08_16:25:39,74,6516 
2025-06-08_16:25:51,76,6591 
2025-06-08_16:26:03,55,6450 
2025-06-08_16:26:15,76,6609 
2025-06-08_16:26:27,88,6484 
2025-06-08_16:26:39,82,6473 
2025-06-08_16:26:51,15,6240 
2025-06-08_16:27:02,88,6850 
2025-06-08_16:27:14,67,6741 
2025-06-08_16:27:26,85,6736 
2025-06-08_16:27:38,8,6707 
2025-06-08_16:27:49,28,6673 
2025-06-08_16:28:00,33,6685 
2025-06-08_16:28:11,73,6851 
2025-06-08_16:28:23,13,6751 
2025-06-08_16:28:34,79,6842 
2025-06-08_16:28:46,9,6809 
2025-06-08_16:28:58,60,6488 
2025-06-08_16:29:09,71,6865 
2025-06-08_16:29:21,30,6788 
2025-06-08_16:29:33,73,6878 
2025-06-08_16:29:45,73,6924 
2025-06-08_16:29:57,70,6552 
2025-06-08_16:30:09,9,6824 
2025-06-08_16:30:21,83,6827 
2025-06-08_16:30:32,68,6817 
2025-06-08_16:30:46,4,6585 
2025-06-08_16:30:58,45,6864 
2025-06-08_16:31:10,79,6908 
2025-06-08_16:31:22,68,6841 
2025-06-08_16:31:34,47,6864 
2025-06-08_16:31:47,60,6651 
2025-06-08_16:31:58,70,7020 
2025-06-08_16:32:10,18,6906 
2025-06-08_16:32:22,65,6941 
2025-06-08_16:32:34,13,6921 
2025-06-08_16:32:45,76,6931 
2025-06-08_16:32:57,4,6916 
2025-06-08_16:33:09,33,6890 
2025-06-08_16:33:21,82,6999 
2025-06-08_16:33:33,42,6864 
2025-06-08_16:33:45,40,7057 
2025-06-08_16:33:58,72,6762 
2025-06-08_16:34:10,74,7014 
2025-06-08_16:34:22,48,7040 
2025-06-08_16:34:34,2,6746 
2025-06-08_16:34:45,1,6654 
2025-06-08_16:34:56,4,6614 
2025-06-08_16:35:07,2,6575 
2025-06-08_16:35:18,1,6556 
2025-06-08_16:35:29,3,6547 
2025-06-08_16:35:40,42,6042
