Timestamp,CPU_Usage_Percent,RAM_Used_MB 
2025-06-08_17:31:15,17,6081 
2025-06-08_17:31:27,16,6229 
2025-06-08_17:31:39,70,6370 
2025-06-08_17:31:51,71,6414 
2025-06-08_17:32:01,57,6397 
2025-06-08_17:32:13,60,6364 
2025-06-08_17:32:25,68,6360 
2025-06-08_17:32:37,61,6357 
2025-06-08_17:32:49,65,6359 
2025-06-08_17:33:01,8,6356 
2025-06-08_17:33:13,65,6355 
2025-06-08_17:33:25,66,6351 
2025-06-08_17:33:37,28,6356 
2025-06-08_17:33:49,68,6347 
2025-06-08_17:34:01,56,6370 
2025-06-08_17:34:13,53,6380 
2025-06-08_17:34:25,62,6357 
2025-06-08_17:34:37,31,6361 
2025-06-08_17:34:49,57,6355 
2025-06-08_17:35:01,62,6360 
2025-06-08_17:35:13,50,6356 
2025-06-08_17:35:25,34,6334 
2025-06-08_17:35:36,48,6318 
2025-06-08_17:35:48,29,6357 
2025-06-08_17:36:00,8,6346 
2025-06-08_17:36:12,25,6338 
2025-06-08_17:36:24,38,6329 
2025-06-08_17:36:36,54,6326 
2025-06-08_17:36:48,45,6327 
2025-06-08_17:36:59,49,6327 
2025-06-08_17:37:11,19,6345 
2025-06-08_17:37:23,30,6370 
2025-06-08_17:37:34,39,6267 
2025-06-08_17:37:45,25,6261 
2025-06-08_17:37:57,56,6251 
2025-06-08_17:38:09,50,6296 
2025-06-08_17:38:21,42,6258 
2025-06-08_17:38:32,46,6235 
2025-06-08_17:38:44,47,6234 
2025-06-08_17:38:55,13,6232 
2025-06-08_17:39:06,49,6232 
2025-06-08_17:39:18,53,6192 
2025-06-08_17:39:30,39,6197 
2025-06-08_17:39:41,3,6165 
2025-06-08_17:39:52,21,6204 
2025-06-08_17:40:03,37,6287 
2025-06-08_17:40:14,18,6141 
2025-06-08_17:40:25,17,6136 
2025-06-08_17:40:36,20,6137 
2025-06-08_17:40:47,3,6125 
2025-06-08_17:40:58,17,6124 
2025-06-08_17:41:09,14,6109 
2025-06-08_17:41:20,17,6110 
2025-06-08_17:41:31,8,6109 
2025-06-08_17:41:42,12,6108 
2025-06-08_17:41:53,11,6109 
2025-06-08_17:42:04,13,6109 
2025-06-08_17:42:15,13,6108 
2025-06-08_17:42:26,14,6106 
2025-06-08_17:42:37,10,6106 
2025-06-08_17:42:48,10,6110 
2025-06-08_17:42:59,8,6109 
2025-06-08_17:43:10,16,6108 
2025-06-08_17:43:21,6,6108 
2025-06-08_17:43:32,10,6113 
2025-06-08_17:43:43,17,6113 
2025-06-08_17:43:54,8,6117 
2025-06-08_17:44:05,13,6112 
2025-06-08_17:44:16,10,6112 
2025-06-08_17:44:27,10,6111 
2025-06-08_17:44:38,11,6107 
2025-06-08_17:44:49,11,6106 
2025-06-08_17:45:00,16,6112 
2025-06-08_17:45:11,8,6108 
2025-06-08_17:45:22,6,6118 
2025-06-08_17:45:33,7,6107 
2025-06-08_17:45:44,16,6110 
2025-06-08_17:45:55,10,6110 
2025-06-08_17:46:06,19,6113 
2025-06-08_17:46:17,13,6106 
2025-06-08_17:46:28,13,6119 
2025-06-08_17:46:39,8,6111 
2025-06-08_17:46:50,19,6109 
2025-06-08_17:47:01,8,6114 
2025-06-08_17:47:12,13,6117 
2025-06-08_17:47:23,20,6112 
2025-06-08_17:47:34,16,6113 
2025-06-08_17:47:45,10,6120 
2025-06-08_17:47:56,10,6115 
2025-06-08_17:48:07,13,6112 
2025-06-08_17:48:18,10,6107 
2025-06-08_17:48:29,12,6107 
2025-06-08_17:48:40,13,6107 
2025-06-08_17:48:51,16,6109 
2025-06-08_17:49:02,4,6112 
2025-06-08_17:49:13,5,6107 
2025-06-08_17:49:24,10,6109 
2025-06-08_17:49:35,5,6112 
2025-06-08_17:49:46,13,6111 
2025-06-08_17:49:57,7,6103 
2025-06-08_17:50:08,2,6107 
2025-06-08_17:50:19,2,6106 
2025-06-08_17:50:30,8,6104 
2025-06-08_17:50:41,3,6107 
2025-06-08_17:50:52,3,6105
