tpm,timestamp
271842,15:21:01
355224,15:21:12
378252,15:21:22
358932,15:21:32
318060,15:21:42
344328,15:21:52
374622,15:22:02
355164,15:22:12
314652,15:22:22
338370,15:22:32
347904,15:22:43
363120,15:22:53
317916,15:23:03
324024,15:23:13
311184,15:23:23
147342,15:23:33
231396,15:23:43
313872,15:23:53
317904,15:24:04
345936,15:24:14
363396,15:24:24
344376,15:24:34
287982,15:24:44
147510,15:24:54
97278,15:25:04
140646,15:25:14
179766,15:25:24
174984,15:25:35
150672,15:25:45
194460,15:25:55
184890,15:26:05
185412,15:26:15
181866,15:26:25
180180,15:26:35
145968,15:26:45
131832,15:26:56
154260,15:27:06
192102,15:27:16
178182,15:27:26
179556,15:27:36
180918,15:27:46
218508,15:27:56
229644,15:28:06
255474,15:28:17
308982,15:28:27
232230,15:28:37
182268,15:28:47
149862,15:28:57
105354,15:29:07
125436,15:29:17
105750,15:29:27
97926,15:29:38
92742,15:29:48
79662,15:29:58
72102,15:30:08
83274,15:30:18
84546,15:30:28
82218,15:30:38
78462,15:30:48
43986,15:30:58
12,15:32:01
114,15:32:01
6,15:32:01
6,15:32:01
6,15:32:01
6,15:32:01
