Timestamp,CPU_Usage_Percent,RAM_Used_MB 
2025-06-06_16:18:00,9,7798 
2025-06-06_16:18:11,11,7664 
2025-06-06_16:18:23,20,7706 
2025-06-06_16:18:35,91,8028 
2025-06-06_16:18:47,56,8283 
2025-06-06_16:18:59,20,8250 
2025-06-06_16:19:10,62,8217 
2025-06-06_16:19:21,36,8171 
2025-06-06_16:19:32,36,8127 
2025-06-06_16:19:43,25,8100 
2025-06-06_16:19:54,34,8075 
2025-06-06_16:20:05,35,8071 
2025-06-06_16:20:16,43,8105 
2025-06-06_16:20:27,43,8145 
2025-06-06_16:20:38,40,7800 
2025-06-06_16:20:49,26,7975 
2025-06-06_16:21:00,36,8024 
2025-06-06_16:21:11,26,8044 
2025-06-06_16:21:22,21,8065 
2025-06-06_16:21:33,33,8103 
2025-06-06_16:21:44,39,8115 
2025-06-06_16:21:55,26,8128 
2025-06-06_16:22:06,30,8022 
2025-06-06_16:22:17,19,7936 
2025-06-06_16:22:28,29,8078 
2025-06-06_16:22:39,35,8118 
2025-06-06_16:22:50,28,8157 
2025-06-06_16:23:01,31,8175 
2025-06-06_16:23:12,34,8199 
2025-06-06_16:23:23,37,8212 
2025-06-06_16:23:34,19,8237 
2025-06-06_16:23:45,31,7990 
2025-06-06_16:23:56,22,8108 
2025-06-06_16:24:07,30,8186 
2025-06-06_16:24:18,4,8245 
2025-06-06_16:24:29,32,8305 
2025-06-06_16:24:40,25,8340 
2025-06-06_16:24:51,21,8337 
2025-06-06_16:25:02,17,8336 
2025-06-06_16:25:13,23,8307 
2025-06-06_16:25:24,23,8322 
2025-06-06_16:25:35,27,8313 
2025-06-06_16:25:46,31,8070 
2025-06-06_16:25:57,19,8168 
2025-06-06_16:26:08,31,8273 
2025-06-06_16:26:19,30,8312 
2025-06-06_16:26:30,46,8363 
2025-06-06_16:26:41,34,8379 
2025-06-06_16:26:52,42,8369 
2025-06-06_16:27:03,33,8415 
2025-06-06_16:27:14,43,8405 
2025-06-06_16:27:25,63,8139 
2025-06-06_16:27:36,28,8202 
2025-06-06_16:27:47,31,8333 
2025-06-06_16:27:58,14,8354 
2025-06-06_16:28:09,19,8368 
2025-06-06_16:28:20,44,8374 
2025-06-06_16:28:31,48,8361 
2025-06-06_16:28:42,53,8365 
2025-06-06_16:28:53,33,8375 
2025-06-06_16:29:04,31,8362 
2025-06-06_16:29:15,9,8413 
2025-06-06_16:29:26,0,8335 
2025-06-06_16:29:37,4,8315 
2025-06-06_16:29:48,1,8294 
2025-06-06_16:29:59,1,8285 
2025-06-06_16:30:10,0,8274 
2025-06-06_16:30:21,3,8126 
2025-06-06_16:30:32,46,8397 
2025-06-06_16:30:44,91,8597 
2025-06-06_16:30:56,74,8706 
2025-06-06_16:31:08,54,8669 
2025-06-06_16:31:19,59,8804 
2025-06-06_16:31:31,29,8532 
2025-06-06_16:31:42,28,8536 
2025-06-06_16:31:53,4,8499 
2025-06-06_16:32:04,36,8616 
2025-06-06_16:32:16,39,8688 
2025-06-06_16:32:27,46,8601 
2025-06-06_16:32:38,28,8317 
2025-06-06_16:32:49,48,8546 
2025-06-06_16:33:00,51,8584 
2025-06-06_16:33:11,40,8649 
2025-06-06_16:33:22,41,8330 
2025-06-06_16:33:33,40,8513 
2025-06-06_16:33:44,60,8622 
2025-06-06_16:33:55,45,8612 
2025-06-06_16:34:06,34,8456 
2025-06-06_16:34:17,45,8636 
2025-06-06_16:34:28,48,8757 
2025-06-06_16:34:39,52,8283 
2025-06-06_16:34:50,69,8611 
2025-06-06_16:35:01,49,8733 
2025-06-06_16:35:12,39,8715 
2025-06-06_16:35:23,47,8695 
2025-06-06_16:35:35,63,8341 
2025-06-06_16:35:46,52,8706 
2025-06-06_16:35:57,59,8787 
2025-06-06_16:36:08,71,8704 
2025-06-06_16:36:19,68,8636 
2025-06-06_16:36:30,62,8353 
2025-06-06_16:36:41,74,8590 
2025-06-06_16:36:52,40,8730 
2025-06-06_16:37:03,85,8743 
2025-06-06_16:37:14,60,8747 
2025-06-06_16:37:25,54,8412 
2025-06-06_16:37:36,51,8744 
2025-06-06_16:37:47,47,8743 
2025-06-06_16:37:58,55,8762 
2025-06-06_16:38:09,59,8352 
2025-06-06_16:38:20,56,8689 
2025-06-06_16:38:31,62,8727 
2025-06-06_16:38:42,40,8709 
2025-06-06_16:38:53,56,8745 
2025-06-06_16:39:04,59,8555 
2025-06-06_16:39:15,56,8825 
2025-06-06_16:39:26,42,8895 
2025-06-06_16:39:37,60,8843 
2025-06-06_16:39:48,51,8610 
2025-06-06_16:39:59,61,8661 
2025-06-06_16:40:10,64,8875 
2025-06-06_16:40:22,55,8823 
2025-06-06_16:40:33,42,8878 
2025-06-06_16:40:44,68,8697 
2025-06-06_16:40:55,43,8939 
2025-06-06_16:41:06,51,8943 
2025-06-06_16:41:17,46,8987 
2025-06-06_16:41:28,52,8591 
2025-06-06_16:41:39,41,8962 
2025-06-06_16:41:50,45,9038 
2025-06-06_16:42:01,13,9083 
2025-06-06_16:42:13,7,8844 
2025-06-06_16:42:24,1,8778 
2025-06-06_16:42:35,5,8734 
