Timestamp,CPU_Usage_Percent,RAM_Used_MB 
2025-06-08_13:35:54,23,8315 
2025-06-08_13:35:56,22,8346 
2025-06-08_13:35:59,17,8392 
2025-06-08_13:36:11,94,9015 
2025-06-08_13:36:23,74,9553 
2025-06-08_13:36:35,68,9759 
2025-06-08_13:36:47,45,10019 
2025-06-08_13:36:58,2,10006 
2025-06-08_13:37:09,45,9997 
2025-06-08_13:37:20,69,9979 
2025-06-08_13:37:31,40,9937 
2025-06-08_13:37:42,43,9984 
2025-06-08_13:37:53,48,9982 
2025-06-08_13:38:04,35,9990 
2025-06-08_13:38:15,56,9982 
2025-06-08_13:38:26,26,9985 
2025-06-08_13:38:37,49,10050 
2025-06-08_13:38:48,45,10036 
2025-06-08_13:38:59,46,10041 
2025-06-08_13:39:10,55,10048 
2025-06-08_13:39:21,51,9974 
2025-06-08_13:39:32,54,9982 
2025-06-08_13:39:43,40,9937 
2025-06-08_13:39:54,53,9957 
2025-06-08_13:40:05,46,9971 
2025-06-08_13:40:16,35,9980 
2025-06-08_13:40:27,56,9982 
2025-06-08_13:40:38,46,10018 
2025-06-08_13:40:49,54,10085 
2025-06-08_13:41:00,54,10085 
2025-06-08_13:41:11,60,10094 
2025-06-08_13:41:22,71,10083 
2025-06-08_13:41:33,37,10088 
2025-06-08_13:41:44,42,10073 
2025-06-08_13:41:55,48,10069 
2025-06-08_13:42:06,34,9972 
2025-06-08_13:42:17,49,9973 
2025-06-08_13:42:28,55,9953 
2025-06-08_13:42:39,51,9927 
2025-06-08_13:42:50,54,9920 
2025-06-08_13:43:01,38,9908 
2025-06-08_13:43:12,43,9895 
2025-06-08_13:43:23,59,9867 
2025-06-08_13:43:34,28,9845 
2025-06-08_13:43:45,46,9808 
2025-06-08_13:43:56,42,9792 
2025-06-08_13:44:07,53,9786 
2025-06-08_13:44:18,56,9774 
2025-06-08_13:44:29,46,9753 
2025-06-08_13:44:40,44,9734 
2025-06-08_13:44:51,60,9755 
2025-06-08_13:45:02,51,9644 
2025-06-08_13:45:13,63,9830 
2025-06-08_13:45:24,47,9829 
2025-06-08_13:45:35,47,9836 
2025-06-08_13:45:46,34,9843 
2025-06-08_13:45:57,66,9832 
2025-06-08_13:46:08,48,9831 
2025-06-08_13:46:19,43,9835 
2025-06-08_13:46:30,41,9743 
2025-06-08_13:46:41,45,9761 
2025-06-08_13:46:52,33,9759 
2025-06-08_13:47:03,6,9739 
2025-06-08_13:47:14,1,9687 
2025-06-08_13:47:25,2,9653 
2025-06-08_13:47:36,2,9649 
2025-06-08_13:47:47,3,9647 
2025-06-08_13:47:58,0,9642 
2025-06-08_13:48:09,3,9594 
2025-06-08_13:48:20,97,10044 
2025-06-08_13:48:32,84,10589 
2025-06-08_13:48:44,82,11011 
2025-06-08_13:48:56,67,11342 
2025-06-08_13:49:08,77,11417 
2025-06-08_13:49:20,66,11504 
2025-06-08_13:49:32,68,11568 
2025-06-08_13:49:44,76,11649 
2025-06-08_13:49:56,62,11612 
2025-06-08_13:50:07,52,11573 
2025-06-08_13:50:18,54,11584 
2025-06-08_13:50:29,61,11573 
2025-06-08_13:50:40,60,11578 
2025-06-08_13:50:51,64,11578 
2025-06-08_13:51:02,65,11567 
2025-06-08_13:51:13,55,11577 
2025-06-08_13:51:24,57,11579 
2025-06-08_13:51:35,74,11510 
2025-06-08_13:51:46,77,11511 
2025-06-08_13:51:57,62,11426 
2025-06-08_13:52:08,66,11400 
2025-06-08_13:52:19,57,11412 
2025-06-08_13:52:30,73,11425 
2025-06-08_13:52:41,62,11431 
2025-06-08_13:52:52,67,11448 
2025-06-08_13:53:03,76,11437 
2025-06-08_13:53:15,68,11455 
2025-06-08_13:53:26,74,11469 
2025-06-08_13:53:37,77,11409 
2025-06-08_13:53:48,65,11412 
2025-06-08_13:53:59,70,11411 
2025-06-08_13:54:10,65,11425 
2025-06-08_13:54:21,73,11501 
2025-06-08_13:54:33,58,11372 
2025-06-08_13:54:45,70,11398 
2025-06-08_13:54:56,60,11435 
2025-06-08_13:55:07,70,11452 
2025-06-08_13:55:18,65,11461 
2025-06-08_13:55:29,76,11472 
2025-06-08_13:55:41,50,11488 
2025-06-08_13:55:52,68,11494 
2025-06-08_13:56:03,73,11495 
2025-06-08_13:56:14,65,11508 
2025-06-08_13:56:26,74,11513 
2025-06-08_13:56:38,60,11543 
2025-06-08_13:56:49,74,11567 
2025-06-08_13:57:01,60,11557 
2025-06-08_13:57:13,80,11557 
2025-06-08_13:57:24,72,11573 
2025-06-08_13:57:35,73,11575 
2025-06-08_13:57:46,81,11591 
2025-06-08_13:57:57,58,11511 
2025-06-08_13:58:08,74,11528 
2025-06-08_13:58:19,73,11548 
2025-06-08_13:58:30,60,11572 
2025-06-08_13:58:42,74,11569 
2025-06-08_13:58:54,76,11586 
