Timestamp,CPU_Usage_Percent,RAM_Used_MB 
2025-06-08_14:47:20,7,11420 
2025-06-08_14:47:32,17,11467 
2025-06-08_14:47:43,11,12218 
2025-06-08_14:47:54,73,12335 
2025-06-08_14:48:06,65,12589 
2025-06-08_14:48:17,49,12615 
2025-06-08_14:48:29,62,12858 
2025-06-08_14:48:41,54,12990 
2025-06-08_14:48:53,4,13267 
2025-06-08_14:49:04,23,13302 
2025-06-08_14:49:15,10,13330 
2025-06-08_14:49:26,51,13335 
2025-06-08_14:49:37,5,13349 
2025-06-08_14:49:48,25,13353 
2025-06-08_14:49:59,5,13374 
2025-06-08_14:50:10,32,13401 
2025-06-08_14:50:21,6,13403 
2025-06-08_14:50:32,20,13415 
2025-06-08_14:50:43,19,13435 
2025-06-08_14:50:54,11,13441 
2025-06-08_14:51:05,22,13444 
2025-06-08_14:51:16,20,13441 
2025-06-08_14:51:27,22,13447 
2025-06-08_14:51:38,14,13428 
2025-06-08_14:51:49,26,13390 
2025-06-08_14:52:00,23,13164 
2025-06-08_14:52:11,17,13162 
2025-06-08_14:52:22,14,13177 
2025-06-08_14:52:33,13,13233 
2025-06-08_14:52:44,16,13231 
2025-06-08_14:52:55,20,13252 
2025-06-08_14:53:06,31,13295 
2025-06-08_14:53:17,13,13291 
2025-06-08_14:53:28,23,13296 
2025-06-08_14:53:39,10,13350 
2025-06-08_14:53:50,23,13353 
2025-06-08_14:54:01,16,13363 
2025-06-08_14:54:12,27,13381 
2025-06-08_14:54:23,17,13330 
2025-06-08_14:54:34,25,13335 
2025-06-08_14:54:45,7,13308 
2025-06-08_14:54:56,8,13337 
2025-06-08_14:55:07,25,13359 
2025-06-08_14:55:18,3,13366 
2025-06-08_14:55:29,19,13384 
2025-06-08_14:55:40,22,13410 
2025-06-08_14:55:51,6,13418 
2025-06-08_14:56:02,10,13452 
2025-06-08_14:56:13,14,13519 
2025-06-08_14:56:24,31,13536 
2025-06-08_14:56:35,8,13497 
2025-06-08_14:56:46,34,13461 
2025-06-08_14:56:57,16,13470 
2025-06-08_14:57:08,19,13481 
2025-06-08_14:57:19,16,13503 
2025-06-08_14:57:30,14,13511 
2025-06-08_14:57:41,12,13534 
2025-06-08_14:57:52,8,13605 
2025-06-08_14:58:03,3,13609 
2025-06-08_14:58:14,34,13612 
2025-06-08_14:58:25,23,13654 
2025-06-08_14:58:36,13,13534 
2025-06-08_14:58:47,30,13536 
2025-06-08_14:58:58,6,13593 
2025-06-08_14:59:09,2,13593 
2025-06-08_14:59:20,2,13602 
2025-06-08_14:59:31,4,13604 
2025-06-08_14:59:42,5,13599 
2025-06-08_14:59:53,3,13595 
2025-06-08_15:00:04,19,13611 
2025-06-08_15:00:15,85,14003 
2025-06-08_15:00:27,88,14340 
2025-06-08_15:00:39,82,14573 
2025-06-08_15:00:51,45,14346 
2025-06-08_15:01:03,63,14066 
2025-06-08_15:01:15,65,14385 
2025-06-08_15:01:27,58,14284 
2025-06-08_15:01:39,54,14378 
2025-06-08_15:01:51,8,14274 
2025-06-08_15:02:02,62,14350 
2025-06-08_15:02:13,29,14337 
2025-06-08_15:02:24,39,14383 
2025-06-08_15:02:35,59,14448 
2025-06-08_15:02:46,35,14467 
2025-06-08_15:02:57,43,14490 
2025-06-08_15:03:09,25,14552 
2025-06-08_15:03:20,43,14572 
2025-06-08_15:03:32,43,14591 
2025-06-08_15:03:43,31,14629 
2025-06-08_15:03:54,37,14156 
2025-06-08_15:04:05,21,14251 
2025-06-08_15:04:16,25,14265 
2025-06-08_15:04:27,38,14260 
2025-06-08_15:04:38,48,14299 
2025-06-08_15:04:49,34,14452 
2025-06-08_15:05:00,48,14483 
2025-06-08_15:05:11,42,14500 
2025-06-08_15:05:22,5,14514 
2025-06-08_15:05:33,30,14559 
2025-06-08_15:05:44,43,14572 
2025-06-08_15:05:55,34,14584 
2025-06-08_15:06:06,31,14628 
2025-06-08_15:06:17,40,14321 
2025-06-08_15:06:28,18,14460 
2025-06-08_15:06:40,17,14455 
2025-06-08_15:06:51,19,14473 
2025-06-08_15:07:02,54,14481 
2025-06-08_15:07:13,10,14504 
2025-06-08_15:07:25,34,14524 
2025-06-08_15:07:36,7,14539 
2025-06-08_15:07:47,31,14333 
2025-06-08_15:07:58,21,14356 
2025-06-08_15:08:09,61,14371 
2025-06-08_15:08:20,23,14389 
2025-06-08_15:08:31,40,14425 
2025-06-08_15:08:42,18,14445 
2025-06-08_15:08:53,30,14578 
2025-06-08_15:09:04,5,14592 
2025-06-08_15:09:15,48,14603 
2025-06-08_15:09:26,33,14627 
2025-06-08_15:09:37,50,14433 
2025-06-08_15:09:48,30,14435 
2025-06-08_15:09:59,20,14459 
2025-06-08_15:10:10,37,14543 
2025-06-08_15:10:22,40,14575 
2025-06-08_15:10:34,21,14599 
2025-06-08_15:10:45,36,14628 
2025-06-08_15:10:56,22,14717 
2025-06-08_15:11:07,40,14744 
2025-06-08_15:11:18,40,14538 
2025-06-08_15:11:29,36,14569 
2025-06-08_15:11:41,43,14734 
2025-06-08_15:11:52,10,14756 
2025-06-08_15:12:03,1,14803 
2025-06-08_15:12:14,2,14800 
2025-06-08_15:12:25,1,14800 
2025-06-08_15:12:36,1,14800 
2025-06-08_15:12:47,3,14798 
2025-06-08_15:12:58,6,14782 
2025-06-08_15:13:09,99,14840 
2025-06-08_15:13:21,94,15177 
2025-06-08_15:13:33,68,15473 
2025-06-08_15:13:45,51,15373 
2025-06-08_15:13:57,94,15280 
2025-06-08_15:14:09,90,15319 
2025-06-08_15:14:21,81,15347 
2025-06-08_15:14:33,91,15372 
2025-06-08_15:14:45,12,15135 
2025-06-08_15:14:57,71,15116 
2025-06-08_15:15:09,60,15098 
2025-06-08_15:15:21,76,15110 
2025-06-08_15:15:33,59,15114 
2025-06-08_15:15:45,66,15128 
2025-06-08_15:15:57,67,15095 
2025-06-08_15:16:09,68,15065 
2025-06-08_15:16:21,58,15094 
2025-06-08_15:16:33,81,15096 
2025-06-08_15:16:45,60,15104 
2025-06-08_15:16:57,56,15089 
2025-06-08_15:17:09,63,15094 
2025-06-08_15:17:21,36,15087 
2025-06-08_15:17:32,47,15087 
2025-06-08_15:17:43,65,15090 
2025-06-08_15:17:55,8,15100 
2025-06-08_15:18:06,51,15084 
2025-06-08_15:18:18,54,15095 
2025-06-08_15:18:30,48,15095 
2025-06-08_15:18:42,40,15084 
2025-06-08_15:18:54,71,15086 
2025-06-08_15:19:06,34,15080 
2025-06-08_15:19:17,80,15078 
2025-06-08_15:19:29,45,15079 
2025-06-08_15:19:41,20,15082 
