tpm,timestamp
340926,14:36:48
437814,14:36:58
409290,14:37:08
405624,14:37:18
350298,14:37:28
394086,14:37:38
400950,14:37:48
401160,14:37:59
408486,14:38:09
374382,14:38:19
328650,14:38:29
330030,14:38:39
327960,14:38:49
360348,14:38:59
355734,14:39:09
355560,14:39:19
350016,14:39:29
346704,14:39:39
379650,14:39:49
418626,14:39:59
410100,14:40:09
400734,14:40:19
355398,14:40:29
273942,14:40:39
318666,14:40:49
301884,14:40:59
374070,14:41:09
412458,14:41:19
372318,14:41:29
327330,14:41:39
264576,14:41:49
307980,14:41:59
294012,14:42:09
111492,14:42:19
6,14:42:29
6,14:42:39
18,14:42:49
6,14:42:59
18,14:43:09
6,14:43:19
30,14:43:29
6,14:43:39
18,14:43:50
6,14:44:00
18,14:44:10
6,14:44:20
144,14:44:30
6,14:44:40
18,14:44:50
6,14:45:00
18,14:45:10
6,14:45:20
30,14:45:30
6,14:45:40
18,14:45:50
6,14:46:00
18,14:46:10
6,14:46:20
18,14:46:31
12,14:46:41
24,14:47:44
6,14:47:44
18,14:47:44
6,14:47:44
18,14:47:44
6,14:47:44
