Timestamp,CPU_Usage_Percent,RAM_Used_MB
2025-06-06_15:35:54,30.83,13531
2025-06-06_15:36:04,89.29,13671
2025-06-06_15:36:14,100,13635
2025-06-06_15:36:25,100,13458
2025-06-06_15:36:35,32.53,12730
2025-06-06_15:36:45,43.31,12782
2025-06-06_15:36:56,42.07,12866
2025-06-06_15:37:06,44.19,12748
2025-06-06_15:37:16,47.15,12878
2025-06-06_15:37:26,44.54,13054
2025-06-06_15:37:37,41.13,13172
2025-06-06_15:37:47,41.74,13303
2025-06-06_15:37:57,43.75,13419
2025-06-06_15:38:07,42.52,13571
2025-06-06_15:38:17,40.9,13655
2025-06-06_15:38:28,45.39,13708
2025-06-06_15:38:38,41.60,13768
2025-06-06_15:38:48,43.75,13780
2025-06-06_15:38:58,40.9,13807
2025-06-06_15:39:09,40.63,13858
2025-06-06_15:39:19,43.29,13889
2025-06-06_15:39:29,40.48,13973
2025-06-06_15:39:39,38.10,14019
2025-06-06_15:39:50,43.55,14056
2025-06-06_15:40:00,47.70,14138
2025-06-06_15:40:10,41.74,14181
2025-06-06_15:40:20,41.27,14260
2025-06-06_15:40:31,42.86,14260
2025-06-06_15:40:41,47.29,14284
2025-06-06_15:40:51,42.19,14253
2025-06-06_15:41:01,41.87,14239
2025-06-06_15:41:11,40.80,14236
2025-06-06_15:41:22,45.39,14236
2025-06-06_15:41:32,46.88,14244
2025-06-06_15:41:42,41.54,14273
2025-06-06_15:41:52,42.64,14242
2025-06-06_15:42:03,60.77,14244
2025-06-06_15:42:13,41.9,14206
2025-06-06_15:42:23,16.09,14243
2025-06-06_15:42:33,18.31,14212
2025-06-06_15:42:44,25.72,14244
2025-06-06_15:42:54,20.14,14222
2025-06-06_15:43:04,19.43,14193
2025-06-06_15:43:14,19.12,14224
2025-06-06_15:43:25,20.75,14228
2025-06-06_15:43:35,29.60,11746
2025-06-06_15:43:45,19.55,11788
2025-06-06_15:43:55,20.44,11892
2025-06-06_15:44:06,19.12,12029
2025-06-06_15:44:16,19.26,12078
2025-06-06_15:44:26,16.06,12140
2025-06-06_15:44:37,18.71,12143
2025-06-06_15:44:47,17.78,12176
2025-06-06_15:44:57,16.42,12147
2025-06-06_15:45:07,16.55,12153
2025-06-06_15:45:18,16.32,12157
2025-06-06_15:45:28,19.57,12162
2025-06-06_15:45:38,15.45,12166
2025-06-06_15:45:48,15.22,12171
2025-06-06_15:45:59,18.19,12171
2025-06-06_15:46:09,16.43,12171
2025-06-06_15:46:19,17.52,12088
2025-06-06_15:46:29,17.61,12113
2025-06-06_15:46:40,28.04,12345
2025-06-06_15:46:50,15.5,12367
2025-06-06_15:47:00,15.22,12333
2025-06-06_15:47:10,15.0,12355
2025-06-06_15:47:21,16.20,12370
2025-06-06_15:47:31,13.67,12368
2025-06-06_15:47:41,15.72,12299
2025-06-06_15:47:51,100,12488
2025-06-06_15:48:02,100,12777
2025-06-06_15:48:12,100,12984
2025-06-06_15:48:22,100,13211
2025-06-06_15:48:33,100,13366
2025-06-06_15:48:43,98.55,13833
2025-06-06_15:48:53,89.29,13900
2025-06-06_15:49:03,18.85,13914
2025-06-06_15:49:14,62.88,13919
2025-06-06_15:49:24,80.30,13923
2025-06-06_15:49:34,62.60,13944
2025-06-06_15:49:44,64.45,13911
2025-06-06_15:49:55,63.08,13946
2025-06-06_15:50:05,62.13,13947
2025-06-06_15:50:15,63.51,13933
2025-06-06_15:50:26,85.11,13968
2025-06-06_15:50:36,60.72,13965
2025-06-06_15:50:46,64.83,13974
2025-06-06_15:50:56,64.54,13950
2025-06-06_15:51:07,62.31,14015
2025-06-06_15:51:17,48.15,14035
2025-06-06_15:51:27,60.72,14029
2025-06-06_15:51:37,65.19,14015
2025-06-06_15:51:48,75.0,14026
2025-06-06_15:51:58,66.67,14041
2025-06-06_15:52:08,77.70,14026
2025-06-06_15:52:18,77.78,14036
2025-06-06_15:52:29,76.52,14027
2025-06-06_15:52:39,40.45,14037
2025-06-06_15:52:49,67.65,14047
2025-06-06_15:53:00,64.40,14029
2025-06-06_15:53:10,78.20,14053
2025-06-06_15:53:20,63.1,14035
2025-06-06_15:53:30,78.04,14039
2025-06-06_15:53:41,62.17,14068
2025-06-06_15:53:51,46.3,14069
2025-06-06_15:54:01,77.86,14035
2025-06-06_15:54:11,80.42,14137
2025-06-06_15:54:22,65.25,14147
2025-06-06_15:54:32,85.62,14182
2025-06-06_15:54:42,76.87,14219
2025-06-06_15:54:52,47.41,14221
2025-06-06_15:55:03,75.19,14233
2025-06-06_15:55:13,75.4,14235
2025-06-06_15:55:23,60.47,14209
2025-06-06_15:55:34,81.57,14234
2025-06-06_15:55:44,67.65,14209
2025-06-06_15:55:54,77.10,14236
2025-06-06_15:56:04,88.55,14235
2025-06-06_15:56:15,76.12,14239
2025-06-06_15:56:25,77.5,14207
2025-06-06_15:56:35,76.16,14232
2025-06-06_15:56:45,80.38,14232
2025-06-06_15:56:56,75.4,14238
2025-06-06_15:57:06,75.79,14237
2025-06-06_15:57:16,76.48,14207
2025-06-06_15:57:26,78.36,14206
2025-06-06_15:57:37,77.62,14209
2025-06-06_15:57:47,78.33,14230
2025-06-06_15:57:57,77.62,14207
2025-06-06_15:58:08,90.45,14234
2025-06-06_15:58:18,65.16,14214
2025-06-06_15:58:28,64.67,14208
2025-06-06_15:58:38,63.85,14204
2025-06-06_15:58:49,80.0,14210
2025-06-06_15:58:59,75.56,14100
2025-06-06_15:59:09,77.45,14114
2025-06-06_15:59:19,38.02,14158
2025-06-06_15:59:30,27.01,14164
2025-06-06_15:59:40,30.0,14145
2025-06-06_15:59:50,30.15,14172
2025-06-06_16:00:00,29.20,14176
2025-06-06_16:00:11,27.21,14172
2025-06-06_16:00:21,61.71,14289
2025-06-06_16:00:31,100,12069
2025-06-06_16:00:41,100,12346
2025-06-06_16:00:52,100,12633
2025-06-06_16:01:02,100,12989
2025-06-06_16:01:12,100,13822
2025-06-06_16:01:23,100,14169
2025-06-06_16:01:33,100,14302
2025-06-06_16:01:43,100,14306
2025-06-06_16:01:54,100,14336
2025-06-06_16:02:04,100,14345
2025-06-06_16:02:14,100,14352
2025-06-06_16:02:25,100,14346
2025-06-06_16:02:35,100,14355
2025-06-06_16:02:45,100,14359
2025-06-06_16:02:56,31.89,14374
2025-06-06_16:03:06,51.05,14377
2025-06-06_16:03:16,100,14371
2025-06-06_16:03:26,100,14376
2025-06-06_16:03:37,84.62,14380
2025-06-06_16:03:47,98.64,14356
2025-06-06_16:03:57,97.9,14363
2025-06-06_16:04:08,96.90,14377
2025-06-06_16:04:18,61.23,14350
2025-06-06_16:04:28,71.73,14345
2025-06-06_16:04:39,86.80,14347
2025-06-06_16:04:49,95.28,14325
2025-06-06_16:04:59,59.87,14297
2025-06-06_16:05:09,66.21,14268
2025-06-06_16:05:20,89.45,14237
2025-06-06_16:05:30,91.56,14251
2025-06-06_16:05:40,71.90,14228
2025-06-06_16:05:51,89.29,14245
2025-06-06_16:06:01,49.65,14193
2025-06-06_16:06:11,88.67,14187
2025-06-06_16:06:22,71.63,14160
2025-06-06_16:06:32,96.53,14079
2025-06-06_16:06:42,94.88,14012
2025-06-06_16:06:53,92.31,14008
2025-06-06_16:07:03,78.9,14018
2025-06-06_16:07:13,94.56,14028
2025-06-06_16:07:23,97.8,13982
2025-06-06_16:07:34,89.18,13993
2025-06-06_16:07:44,79.32,13992
2025-06-06_16:07:54,81.12,13970
2025-06-06_16:08:05,99.36,13962
2025-06-06_16:08:15,98.64,13959
2025-06-06_16:08:25,98.64,13892
2025-06-06_16:08:36,65.04,13885
2025-06-06_16:08:46,98.65,13875
2025-06-06_16:08:56,78.67,13848
2025-06-06_16:09:07,97.41,13874
2025-06-06_16:09:17,93.75,13877
2025-06-06_16:09:27,76.03,13863
2025-06-06_16:09:37,85.89,13849
2025-06-06_16:09:48,81.51,13829
2025-06-06_16:09:58,80.14,13822
2025-06-06_16:10:08,65.16,13832
2025-06-06_16:10:19,97.9,13811
2025-06-06_16:10:29,71.64,13845
2025-06-06_16:10:39,94.56,13859
2025-06-06_16:10:50,93.48,13872
2025-06-06_16:11:00,67.10,13845
2025-06-06_16:11:10,97.89,13881
2025-06-06_16:11:20,99.36,13877
2025-06-06_16:11:31,97.47,13857
2025-06-06_16:11:41,91.12,13805
2025-06-06_16:11:51,58.75,13790
2025-06-06_16:12:02,98.75,13799
2025-06-06_16:12:12,90.55,13842
2025-06-06_16:12:22,98.69,13839
2025-06-06_16:12:33,99.38,13835
2025-06-06_16:12:43,96.25,13823
2025-06-06_16:12:53,97.49,13778
2025-06-06_16:13:04,95.34,13775
2025-06-06_16:13:14,55.23,13895
2025-06-06_16:13:24,35.22,13904
2025-06-06_16:13:34,33.82,13877
2025-06-06_16:13:45,46.77,13913
2025-06-06_16:13:55,46.72,13905
2025-06-06_16:14:05,31.66,13896
2025-06-06_16:14:15,33.09,13879
2025-06-06_16:14:26,48.82,13532
2025-06-06_16:14:36,100,10552
2025-06-06_16:14:46,100,10811
2025-06-06_16:14:56,100,11099
2025-06-06_16:15:07,100,11779
2025-06-06_16:15:17,100,12195
2025-06-06_16:15:27,100,12633
2025-06-06_16:15:38,100,12973
2025-06-06_16:15:48,100,13667
2025-06-06_16:15:58,100,13855
2025-06-06_16:16:09,100,13955
2025-06-06_16:16:19,100,13962
2025-06-06_16:16:29,100,13967
2025-06-06_16:16:40,100,13989
2025-06-06_16:16:50,100,13988
2025-06-06_16:17:00,100,13985
2025-06-06_16:17:11,100,13985
2025-06-06_16:17:21,100,13991
2025-06-06_16:17:31,100,13990
2025-06-06_16:17:41,100,13987
2025-06-06_16:17:52,100,13987
2025-06-06_16:18:02,100,13990
2025-06-06_16:18:12,35.67,13994
2025-06-06_16:18:23,62.13,13890
2025-06-06_16:18:33,30.72,13990
2025-06-06_16:18:43,98.81,13995
2025-06-06_16:18:53,95.11,13975
2025-06-06_16:19:04,70.22,13968
2025-06-06_16:19:14,95.21,13987
2025-06-06_16:19:24,95.72,13999
2025-06-06_16:19:34,77.62,13972
2025-06-06_16:19:45,97.34,13980
2025-06-06_16:19:55,100,13980
2025-06-06_16:20:05,94.16,13971
2025-06-06_16:20:16,65.5,13966
2025-06-06_16:20:26,78.52,13942
2025-06-06_16:20:36,98.07,13964
2025-06-06_16:20:47,70.38,13934
2025-06-06_16:20:57,97.83,13949
2025-06-06_16:21:07,66.3,13902
2025-06-06_16:21:17,95.46,13925
2025-06-06_16:21:28,100,13917
2025-06-06_16:21:38,85.42,13886
2025-06-06_16:21:48,98.70,13882
2025-06-06_16:21:59,89.04,13825
2025-06-06_16:22:09,84.32,13804
2025-06-06_16:22:19,90.73,13743
2025-06-06_16:22:30,98.63,13765
2025-06-06_16:22:40,67.10,13790
2025-06-06_16:22:50,95.76,13821
2025-06-06_16:23:01,72.68,13799
2025-06-06_16:23:11,80.6,13759
2025-06-06_16:23:21,87.33,13766
2025-06-06_16:23:31,64.39,13762
2025-06-06_16:23:42,98.62,13750
2025-06-06_16:23:52,93.29,13732
2025-06-06_16:24:02,99.40,13675
2025-06-06_16:24:13,100,13682
2025-06-06_16:24:23,98.18,13681
2025-06-06_16:24:33,97.47,13708
2025-06-06_16:24:44,78.85,13700
2025-06-06_16:24:54,95.49,13698
2025-06-06_16:25:04,100,13708
2025-06-06_16:25:15,94.78,13706
2025-06-06_16:25:25,100,13732
2025-06-06_16:25:35,98.29,13751
2025-06-06_16:25:46,92.42,13744
2025-06-06_16:25:56,61.32,13741
2025-06-06_16:26:06,81.9,13737
2025-06-06_16:26:16,89.51,13719
2025-06-06_16:26:27,82.28,13762
2025-06-06_16:26:37,98.72,13761
2025-06-06_16:26:47,89.66,13762
2025-06-06_16:26:58,87.34,13751
2025-06-06_16:27:08,99.28,13753
2025-06-06_16:27:18,69.79,13739
2025-06-06_16:27:29,98.09,13747
2025-06-06_16:27:39,89.88,13749
2025-06-06_16:27:49,76.26,13760
2025-06-06_16:28:00,93.55,13794
2025-06-06_16:28:10,68.54,13774
2025-06-06_16:28:20,87.33,13760
2025-06-06_16:28:31,81.25,13781
2025-06-06_16:28:41,48.10,13920
2025-06-06_16:28:51,30.83,13918
2025-06-06_16:29:01,33.84,13903
2025-06-06_16:29:12,41.01,13933
2025-06-06_16:29:22,42.65,13932
2025-06-06_16:29:32,39.72,13932
2025-06-06_16:29:42,35.77,13945
