Timestamp,CPU_Usage_Percent,RAM_Used_MB
2025-06-06_16:30:22,41.9,13973
2025-06-06_16:30:32,99.27,13995
2025-06-06_16:30:42,100,14019
2025-06-06_16:30:52,100,14021
2025-06-06_16:31:03,100,14028
2025-06-06_16:31:13,35.04,14036
2025-06-06_16:31:23,67.70,14044
2025-06-06_16:31:34,76.57,14036
2025-06-06_16:31:44,74.62,14021
2025-06-06_16:31:54,73.44,13988
2025-06-06_16:32:04,78.47,13985
2025-06-06_16:32:15,71.43,13977
2025-06-06_16:32:25,69.05,14024
2025-06-06_16:32:35,71.32,14005
2025-06-06_16:32:45,73.81,13959
2025-06-06_16:32:56,76.52,13931
2025-06-06_16:33:06,75.61,13803
2025-06-06_16:33:16,73.9,13820
2025-06-06_16:33:26,97.71,13822
2025-06-06_16:33:37,90.45,13359
2025-06-06_16:33:47,75.60,13374
2025-06-06_16:33:57,75.0,13382
2025-06-06_16:34:07,72.80,13431
2025-06-06_16:34:18,71.0,13460
2025-06-06_16:34:28,73.08,13393
2025-06-06_16:34:38,71.78,13446
2025-06-06_16:34:48,73.39,13480
2025-06-06_16:34:58,74.40,13494
2025-06-06_16:35:09,69.2,13512
2025-06-06_16:35:19,70.08,13554
2025-06-06_16:35:29,69.30,13481
2025-06-06_16:35:39,69.85,13538
2025-06-06_16:35:50,74.81,13540
2025-06-06_16:36:00,75.41,13544
2025-06-06_16:36:10,70.64,13546
2025-06-06_16:36:20,67.47,13580
2025-06-06_16:36:31,76.3,13571
2025-06-06_16:36:41,72.0,13548
2025-06-06_16:36:51,72.66,13555
2025-06-06_16:37:01,72.59,13561
2025-06-06_16:37:12,70.87,13523
2025-06-06_16:37:22,70.08,13587
2025-06-06_16:37:32,77.35,13565
2025-06-06_16:37:42,69.05,13564
2025-06-06_16:37:53,71.55,13570
2025-06-06_16:38:03,70.40,13574
2025-06-06_16:38:13,70.40,13575
2025-06-06_16:38:23,73.23,13613
2025-06-06_16:38:34,76.0,13575
2025-06-06_16:38:44,71.88,13594
2025-06-06_16:38:54,81.11,13593
2025-06-06_16:39:04,71.43,13599
2025-06-06_16:39:15,70.08,13593
2025-06-06_16:39:25,70.74,13628
2025-06-06_16:39:35,70.32,13603
2025-06-06_16:39:45,69.05,13599
2025-06-06_16:39:55,75.20,13598
2025-06-06_16:40:06,68.80,13611
2025-06-06_16:40:16,74.80,13637
2025-06-06_16:40:26,71.78,13606
2025-06-06_16:40:36,70.77,13611
2025-06-06_16:40:47,69.85,13619
2025-06-06_16:40:57,73.44,13635
2025-06-06_16:41:07,70.50,13613
2025-06-06_16:41:17,52.68,13646
2025-06-06_16:41:28,32.61,13656
2025-06-06_16:41:38,31.43,13621
2025-06-06_16:41:48,35.8,13596
2025-06-06_16:41:58,36.6,13650
2025-06-06_16:42:09,33.34,13659
2025-06-06_16:42:19,29.79,13660
2025-06-06_16:42:29,100,13672
2025-06-06_16:42:39,100,13562
2025-06-06_16:42:50,100,13577
2025-06-06_16:43:00,100,13649
2025-06-06_16:43:10,100,13711
2025-06-06_16:43:21,100,13751
2025-06-06_16:43:31,99.32,13760
2025-06-06_16:43:41,98.0,13776
2025-06-06_16:43:52,27.41,13787
2025-06-06_16:44:02,88.29,13787
2025-06-06_16:44:12,86.62,13761
2025-06-06_16:44:22,88.8,13763
2025-06-06_16:44:33,92.2,13761
2025-06-06_16:44:43,88.89,13761
2025-06-06_16:44:53,90.56,13765
2025-06-06_16:45:03,89.71,13796
2025-06-06_16:45:14,85.4,13768
2025-06-06_16:45:24,84.50,13784
2025-06-06_16:45:34,88.38,13781
2025-06-06_16:45:44,91.12,13794
2025-06-06_16:45:55,86.3,13788
2025-06-06_16:46:05,91.54,13822
2025-06-06_16:46:15,94.54,13790
2025-06-06_16:46:25,89.40,13806
2025-06-06_16:46:36,88.19,13812
2025-06-06_16:46:46,91.27,13820
2025-06-06_16:46:56,88.29,13827
2025-06-06_16:47:07,89.85,13851
2025-06-06_16:47:17,89.85,13872
2025-06-06_16:47:27,91.81,13826
2025-06-06_16:47:37,87.60,13886
2025-06-06_16:47:48,88.19,13870
2025-06-06_16:47:58,92.0,13884
2025-06-06_16:48:08,87.03,13862
2025-06-06_16:48:18,85.4,13880
2025-06-06_16:48:29,85.49,13890
2025-06-06_16:48:39,84.38,13865
2025-06-06_16:48:49,88.19,13851
2025-06-06_16:48:59,86.72,13899
2025-06-06_16:49:10,88.8,13875
2025-06-06_16:49:20,84.85,13866
2025-06-06_16:49:30,92.86,13871
2025-06-06_16:49:40,89.48,13865
2025-06-06_16:49:51,90.70,13875
2025-06-06_16:50:01,84.85,13919
2025-06-06_16:50:11,94.49,13900
2025-06-06_16:50:21,86.05,13932
2025-06-06_16:50:32,85.4,13938
2025-06-06_16:50:42,85.61,13950
2025-06-06_16:50:52,88.10,13937
2025-06-06_16:51:02,88.29,13966
2025-06-06_16:51:13,89.69,13937
2025-06-06_16:51:23,88.06,13945
2025-06-06_16:51:33,93.75,13938
2025-06-06_16:51:43,86.72,13947
2025-06-06_16:51:54,88.10,13945
2025-06-06_16:52:04,81.07,13996
2025-06-06_16:52:14,85.16,13969
2025-06-06_16:52:24,89.15,13963
2025-06-06_16:52:35,86.51,13989
2025-06-06_16:52:45,89.24,14005
2025-06-06_16:52:55,87.60,14003
2025-06-06_16:53:05,86.83,14047
2025-06-06_16:53:16,87.60,14039
2025-06-06_16:53:26,86.83,14041
2025-06-06_16:53:36,88.80,14004
2025-06-06_16:53:46,88.0,14051
2025-06-06_16:53:57,89.52,14043
2025-06-06_16:54:07,30.4,14076
2025-06-06_16:54:17,30.0,14048
2025-06-06_16:54:27,28.37,14053
2025-06-06_16:54:38,28.58,14061
2025-06-06_16:54:48,37.86,14067
2025-06-06_16:54:58,29.50,14068
2025-06-06_16:55:08,44.0,12921
2025-06-06_16:55:19,100,13370
2025-06-06_16:55:29,100,13867
