Timestamp,CPU_Usage_Percent,RAM_Used_MB
2025-06-06_17:25:11,29.11,14414
2025-06-06_17:25:21,99.23,14408
2025-06-06_17:25:32,100,14412
2025-06-06_17:25:42,97.30,14422
2025-06-06_17:25:52,75.89,14473
2025-06-06_17:26:03,56.80,14472
2025-06-06_17:26:13,53.60,14442
2025-06-06_17:26:23,60.77,14481
2025-06-06_17:26:33,54.04,14443
2025-06-06_17:26:44,54.84,14443
2025-06-06_17:26:54,38.71,14442
2025-06-06_17:27:04,40.5,14481
2025-06-06_17:27:14,42.86,14442
2025-06-06_17:27:25,40.63,14441
2025-06-06_17:27:35,39.38,14443
2025-06-06_17:27:45,40.33,14444
2025-06-06_17:27:55,46.7,14451
2025-06-06_17:28:05,39.52,14473
2025-06-06_17:28:16,39.38,14446
2025-06-06_17:28:26,40.48,14444
2025-06-06_17:28:36,49.21,14463
2025-06-06_17:28:46,55.12,14100
2025-06-06_17:28:57,52.76,14212
2025-06-06_17:29:07,80.47,14331
2025-06-06_17:29:17,53.60,14356
2025-06-06_17:29:27,62.60,14343
2025-06-06_17:29:38,53.7,14328
2025-06-06_17:29:48,57.58,13814
2025-06-06_17:29:58,53.1,13542
2025-06-06_17:30:08,53.13,12731
2025-06-06_17:30:19,57.73,13015
2025-06-06_17:30:29,53.13,13022
2025-06-06_17:30:39,55.56,12747
2025-06-06_17:30:49,57.82,11971
2025-06-06_17:30:59,62.40,11754
2025-06-06_17:31:10,51.62,11369
2025-06-06_17:31:20,52.0,11674
2025-06-06_17:31:30,54.04,11771
2025-06-06_17:31:40,55.12,11844
2025-06-06_17:31:51,60.16,11716
2025-06-06_17:32:01,52.85,11051
2025-06-06_17:32:11,52.80,11276
2025-06-06_17:32:21,39.52,11085
2025-06-06_17:32:32,42.7,11130
2025-06-06_17:32:42,39.54,11380
2025-06-06_17:32:52,39.20,11434
2025-06-06_17:33:02,39.69,11475
2025-06-06_17:33:13,40.63,11518
2025-06-06_17:33:23,44.80,11449
2025-06-06_17:33:33,42.75,11589
2025-06-06_17:33:43,41.74,11607
2025-06-06_17:33:54,58.78,11636
2025-06-06_17:34:04,45.74,11645
2025-06-06_17:34:14,43.31,11659
2025-06-06_17:34:24,59.24,11663
2025-06-06_17:34:35,58.02,11719
2025-06-06_17:34:45,60.47,11750
2025-06-06_17:34:55,41.09,11750
2025-06-06_17:35:05,42.28,11755
2025-06-06_17:35:16,45.3,11754
2025-06-06_17:35:26,53.44,11758
2025-06-06_17:35:36,67.70,11760
2025-06-06_17:35:46,66.42,11991
2025-06-06_17:35:57,60.31,11996
2025-06-06_17:36:07,70.23,12029
2025-06-06_17:36:17,41.74,12177
2025-06-06_17:36:27,15.83,12430
2025-06-06_17:36:38,15.45,12415
2025-06-06_17:36:48,13.24,12411
2025-06-06_17:36:58,15.72,12413
2025-06-06_17:37:08,14.60,12417
2025-06-06_17:37:19,14.90,12427
2025-06-06_17:37:29,100,12010
2025-06-06_17:37:39,100,12397
2025-06-06_17:37:49,100,12849
2025-06-06_17:38:00,100,13064
2025-06-06_17:38:10,96.58,13274
2025-06-06_17:38:20,100,13375
2025-06-06_17:38:31,99.24,13495
2025-06-06_17:38:41,13.34,13622
2025-06-06_17:38:51,66.16,13636
2025-06-06_17:39:01,72.23,13535
2025-06-06_17:39:12,62.40,13503
2025-06-06_17:39:22,64.85,13494
2025-06-06_17:39:32,75.0,13486
2025-06-06_17:39:42,61.30,13499
2025-06-06_17:39:53,72.73,13364
2025-06-06_17:40:03,62.40,13225
2025-06-06_17:40:13,67.7,13184
2025-06-06_17:40:23,65.63,13191
2025-06-06_17:40:34,62.13,13208
2025-06-06_17:40:44,63.0,13218
2025-06-06_17:40:54,74.82,13199
2025-06-06_17:41:04,62.70,13201
2025-06-06_17:41:15,62.21,13204
2025-06-06_17:41:25,72.60,13211
2025-06-06_17:41:35,61.30,13227
2025-06-06_17:41:45,67.67,13315
2025-06-06_17:41:56,71.23,13298
2025-06-06_17:42:06,61.12,13306
2025-06-06_17:42:16,69.2,13297
2025-06-06_17:42:26,62.70,13267
2025-06-06_17:42:37,67.17,13137
2025-06-06_17:42:47,67.4,13183
2025-06-06_17:42:57,63.29,13048
2025-06-06_17:43:07,65.05,13059
2025-06-06_17:43:18,63.20,13068
2025-06-06_17:43:28,64.80,13028
2025-06-06_17:43:38,67.70,13044
2025-06-06_17:43:48,68.80,13091
2025-06-06_17:43:59,61.72,13061
2025-06-06_17:44:09,67.41,13034
2025-06-06_17:44:19,65.12,13031
2025-06-06_17:44:29,61.42,12946
2025-06-06_17:44:40,76.3,12862
2025-06-06_17:44:50,61.60,12882
2025-06-06_17:45:00,63.36,12845
2025-06-06_17:45:10,72.80,12766
2025-06-06_17:45:21,63.50,12674
2025-06-06_17:45:31,65.12,12623
2025-06-06_17:45:41,68.0,12648
2025-06-06_17:45:51,69.35,12686
2025-06-06_17:46:02,61.42,12668
2025-06-06_17:46:12,61.1,12686
2025-06-06_17:46:22,62.10,12696
2025-06-06_17:46:32,71.54,12772
2025-06-06_17:46:43,64.57,12774
2025-06-06_17:46:53,74.05,12832
2025-06-06_17:47:03,64.85,12814
2025-06-06_17:47:13,62.70,12841
2025-06-06_17:47:24,64.13,12857
2025-06-06_17:47:34,66.4,12849
2025-06-06_17:47:44,65.36,12838
2025-06-06_17:47:54,60.17,12885
2025-06-06_17:48:05,62.1,12861
2025-06-06_17:48:15,63.50,12862
2025-06-06_17:48:25,65.63,12885
2025-06-06_17:48:35,68.55,12903
2025-06-06_17:48:46,64.45,12996
2025-06-06_17:48:56,16.42,13305
2025-06-06_17:49:06,14.29,13273
2025-06-06_17:49:16,16.32,13277
2025-06-06_17:49:27,13.58,13279
2025-06-06_17:49:37,15.11,13282
2025-06-06_17:49:47,15.50,13282
2025-06-06_17:49:57,47.7,12620
2025-06-06_17:50:08,99.24,12730
2025-06-06_17:50:18,97.11,13125
2025-06-06_17:50:28,100,13365
2025-06-06_17:50:39,100,13617
2025-06-06_17:50:49,100,13706
2025-06-06_17:50:59,100,13786
2025-06-06_17:51:09,100,13836
2025-06-06_17:51:20,100,13892
2025-06-06_17:51:30,100,13941
2025-06-06_17:51:40,99.32,13953
2025-06-06_17:51:51,100,13954
2025-06-06_17:52:01,100,13955
2025-06-06_17:52:11,100,13958
2025-06-06_17:52:22,100,13958
2025-06-06_17:52:32,53.13,13961
2025-06-06_17:52:42,16.09,13969
2025-06-06_17:52:52,82.31,13972
2025-06-06_17:53:03,91.34,13940
2025-06-06_17:53:13,90.58,13944
2025-06-06_17:53:23,79.53,13941
2025-06-06_17:53:34,87.15,13971
2025-06-06_17:53:44,83.08,13940
2025-06-06_17:53:54,81.89,13958
2025-06-06_17:54:04,85.28,13941
2025-06-06_17:54:15,80.77,13968
2025-06-06_17:54:25,82.45,13947
2025-06-06_17:54:35,83.07,13961
2025-06-06_17:54:45,91.41,13979
2025-06-06_17:54:56,87.03,13945
2025-06-06_17:55:06,88.81,13947
2025-06-06_17:55:16,84.26,13947
2025-06-06_17:55:26,82.82,13943
2025-06-06_17:55:37,86.72,13946
2025-06-06_17:55:47,86.62,13976
2025-06-06_17:55:57,85.3,13955
2025-06-06_17:56:07,82.09,13939
2025-06-06_17:56:18,93.62,13937
2025-06-06_17:56:28,82.04,13925
2025-06-06_17:56:38,83.7,13922
2025-06-06_17:56:48,85.30,13958
2025-06-06_17:56:59,90.63,13928
2025-06-06_17:57:09,86.77,13925
2025-06-06_17:57:19,84.26,13927
2025-06-06_17:57:30,83.09,13932
2025-06-06_17:57:40,86.26,13930
2025-06-06_17:57:50,88.29,13968
2025-06-06_17:58:00,85.60,13932
2025-06-06_17:58:11,80.2,13943
2025-06-06_17:58:21,81.40,13945
2025-06-06_17:58:31,83.47,13942
2025-06-06_17:58:41,83.5,13946
2025-06-06_17:58:52,82.54,13978
2025-06-06_17:59:02,83.83,13956
2025-06-06_17:59:12,80.80,13944
2025-06-06_17:59:22,82.5,13946
2025-06-06_17:59:33,93.66,13948
2025-06-06_17:59:43,83.21,13949
2025-06-06_17:59:53,80.46,13975
2025-06-06_18:00:03,86.05,13948
2025-06-06_18:00:14,85.2,13959
2025-06-06_18:00:24,83.21,13954
2025-06-06_18:00:34,89.71,13983
2025-06-06_18:00:45,86.47,13978
2025-06-06_18:00:55,81.40,13992
2025-06-06_18:01:05,83.09,13951
2025-06-06_18:01:15,80.63,13992
2025-06-06_18:01:26,84.06,13954
2025-06-06_18:01:36,84.38,13987
2025-06-06_18:01:46,84.45,13982
2025-06-06_18:01:56,81.6,13952
2025-06-06_18:02:07,85.62,13961
2025-06-06_18:02:17,84.7,13956
2025-06-06_18:02:27,83.7,13956
2025-06-06_18:02:37,86.05,13956
2025-06-06_18:02:48,27.78,14004
2025-06-06_18:02:58,14.50,14007
2025-06-06_18:03:08,21.28,13978
2025-06-06_18:03:18,14.29,13984
2025-06-06_18:03:29,13.77,13984
2025-06-06_18:03:39,12.69,13974
2025-06-06_18:03:49,27.54,13976
2025-06-06_18:03:59,54.40,13093
2025-06-06_18:04:10,100,13105
2025-06-06_18:04:20,100,13473
2025-06-06_18:04:30,100,13528
2025-06-06_18:04:41,100,13926
2025-06-06_18:04:51,100,14006
2025-06-06_18:05:01,100,14007
2025-06-06_18:05:12,100,14010
2025-06-06_18:05:22,100,14011
2025-06-06_18:05:32,100,14009
2025-06-06_18:05:43,100,14008
2025-06-06_18:05:53,100,14008
2025-06-06_18:06:03,100,14006
2025-06-06_18:06:13,100,14015
2025-06-06_18:06:24,97.80,14014
2025-06-06_18:06:34,100,14015
2025-06-06_18:06:44,100,14019
2025-06-06_18:06:55,100,14013
2025-06-06_18:07:05,100,14015
2025-06-06_18:07:15,100,14018
2025-06-06_18:07:26,100,14015
2025-06-06_18:07:36,100,14024
2025-06-06_18:07:46,86.81,14017
2025-06-06_18:07:56,15.0,13999
2025-06-06_18:08:07,96.69,14025
2025-06-06_18:08:17,90.52,14024
2025-06-06_18:08:27,90.16,13990
2025-06-06_18:08:38,92.37,13990
2025-06-06_18:08:48,92.54,13994
2025-06-06_18:08:58,89.24,13991
2025-06-06_18:09:08,93.88,13994
2025-06-06_18:09:19,93.66,13990
2025-06-06_18:09:29,91.86,13993
2025-06-06_18:09:39,94.70,13999
2025-06-06_18:09:49,91.67,13998
2025-06-06_18:10:00,93.90,14000
2025-06-06_18:10:10,93.9,14034
2025-06-06_18:10:20,92.43,13998
2025-06-06_18:10:31,93.13,14000
2025-06-06_18:10:41,97.0,13999
2025-06-06_18:10:51,90.58,14042
2025-06-06_18:11:01,89.44,14005
2025-06-06_18:11:12,94.37,14005
2025-06-06_18:11:22,88.64,14001
2025-06-06_18:11:32,88.03,14094
2025-06-06_18:11:43,92.25,14054
2025-06-06_18:11:53,91.2,14069
2025-06-06_18:12:03,90.58,14076
2025-06-06_18:12:13,85.0,14049
2025-06-06_18:12:24,92.03,14053
2025-06-06_18:12:34,98.77,13899
2025-06-06_18:12:44,100,13643
2025-06-06_18:12:54,100,13599
2025-06-06_18:13:05,100,13622
2025-06-06_18:13:15,100,13588
2025-06-06_18:13:25,89.66,13613
2025-06-06_18:13:36,91.61,13615
2025-06-06_18:13:46,91.25,13624
2025-06-06_18:13:56,88.82,13635
2025-06-06_18:14:06,94.08,13628
2025-06-06_18:14:17,87.41,13661
2025-06-06_18:14:27,89.80,13681
2025-06-06_18:14:37,94.82,13697
2025-06-06_18:14:48,90.77,13702
2025-06-06_18:14:58,91.73,13709
2025-06-06_18:15:08,88.41,13747
2025-06-06_18:15:18,91.54,13720
2025-06-06_18:15:29,92.86,13732
2025-06-06_18:15:39,92.6,13746
2025-06-06_18:15:49,90.08,13751
2025-06-06_18:16:00,89.14,13752
2025-06-06_18:16:10,88.12,13795
2025-06-06_18:16:20,92.25,13767
2025-06-06_18:16:30,91.86,13774
2025-06-06_18:16:41,91.12,13785
2025-06-06_18:16:51,90.77,13783
2025-06-06_18:17:01,90.79,13810
2025-06-06_18:17:11,91.43,13792
2025-06-06_18:17:22,88.81,13791
2025-06-06_18:17:32,91.31,13786
2025-06-06_18:17:42,90.52,13787
2025-06-06_18:17:53,90.70,13765
2025-06-06_18:18:03,98.62,13760
2025-06-06_18:18:13,15.11,13793
