tpm,timestamp
266646,14:25:14
307146,14:25:24
265290,14:25:34
178062,14:25:44
194934,14:25:54
164310,14:26:04
178332,14:26:14
178620,14:26:24
281652,14:26:34
329748,14:26:44
315078,14:26:54
330180,14:27:04
320724,14:27:14
322362,14:27:24
298962,14:27:35
297048,14:27:45
314916,14:27:55
315432,14:28:05
333522,14:28:15
330408,14:28:25
281994,14:28:35
307830,14:28:45
306984,14:28:55
297294,14:29:05
307770,14:29:15
303096,14:29:25
282978,14:29:35
256278,14:29:45
295356,14:29:55
322074,14:30:05
325566,14:30:15
256950,14:30:25
279474,14:30:35
316092,14:30:45
329814,14:30:55
340062,14:31:05
338154,14:31:15
332880,14:31:25
116082,14:31:35
95292,14:31:45
154764,14:31:55
155496,14:32:05
157584,14:32:15
158934,14:32:25
125736,14:32:35
34074,14:32:45
6,14:32:55
18,14:33:05
6,14:33:15
6,14:33:25
6,14:33:35
18,14:33:45
6,14:33:55
18,14:34:05
6,14:34:15
132,14:34:25
6,14:34:35
18,14:34:45
6,14:34:55
24,14:35:05
12,14:36:11
18,14:36:11
6,14:36:11
18,14:36:11
6,14:36:11
18,14:36:11
