Time,TPM
2025-05-20 13:47:29,0
2025-05-20 13:47:39,18858
2025-05-20 13:47:49,16608
2025-05-20 13:47:59,19320
2025-05-20 13:48:09,18960
2025-05-20 13:48:19,20742
2025-05-20 13:48:29,19836
2025-05-20 13:48:39,20490
2025-05-20 13:48:49,21690
2025-05-20 13:48:59,18882
2025-05-20 13:49:09,18942
2025-05-20 13:49:19,21336
2025-05-20 13:49:29,21510
2025-05-20 13:49:39,21750
2025-05-20 13:49:49,23022
2025-05-20 13:49:59,25176
2025-05-20 13:50:09,24222
2025-05-20 13:50:19,25506
2025-05-20 13:50:29,26034
2025-05-20 13:50:39,22512
2025-05-20 13:50:49,23286
2025-05-20 13:50:59,18732
2025-05-20 13:51:09,22104
2025-05-20 13:51:19,25056
2025-05-20 13:51:29,24978
2025-05-20 13:51:39,23664
2025-05-20 13:51:49,22374
2025-05-20 13:51:59,22542
2025-05-20 13:52:09,19620
2025-05-20 13:52:19,22986
2025-05-20 13:52:29,21390
2025-05-20 13:52:39,21210
2025-05-20 13:52:49,20778
2025-05-20 13:53:00,19482
2025-05-20 13:53:10,15912
2025-05-20 13:53:20,13596
2025-05-20 13:53:30,12900
2025-05-20 13:53:40,14676
2025-05-20 13:53:50,14220
2025-05-20 13:54:00,12846
2025-05-20 13:54:10,14634
2025-05-20 13:54:20,16050
2025-05-20 13:54:30,15162
2025-05-20 13:54:41,4674
2025-05-20 13:54:52,0
2025-05-20 13:55:02,0
2025-05-20 13:55:12,0
2025-05-20 13:55:22,0
2025-05-20 13:55:32,0
2025-05-20 13:55:43,0
2025-05-20 13:55:53,0
2025-05-20 13:56:03,0
2025-05-20 13:56:13,0
2025-05-20 13:56:24,0
2025-05-20 13:56:34,0
2025-05-20 13:56:45,0
2025-05-20 13:56:55,0
2025-05-20 13:57:05,0
2025-05-20 13:57:20,0
2025-05-20 13:57:31,0
2025-05-20 13:57:41,0
2025-05-20 13:57:52,0
2025-05-20 13:58:03,0
2025-05-20 13:58:14,0
2025-05-20 13:58:24,0
2025-05-20 13:58:38,0
2025-05-20 13:58:48,0
2025-05-20 13:58:58,0
2025-05-20 13:59:08,0
2025-05-20 13:59:19,0
2025-05-20 13:59:31,0
2025-05-20 13:59:41,0
2025-05-20 13:59:51,0
