Timestamp,CPU_Usage_Percent,RAM_Used_MB 
2025-06-07_01:43:43,14,13659 
2025-06-07_01:43:55,80,13869 
2025-06-07_01:44:06,76,13793 
2025-06-07_01:44:17,70,14280 
2025-06-07_01:44:29,25,14315 
2025-06-07_01:44:40,50,14391 
2025-06-07_01:44:51,52,14462 
2025-06-07_01:45:02,62,14741 
2025-06-07_01:45:13,54,14406 
2025-06-07_01:45:24,68,14438 
2025-06-07_01:45:35,46,14117 
2025-06-07_01:45:46,1,14144 
2025-06-07_01:45:57,1,14205 
2025-06-07_01:46:08,,14215 
2025-06-07_01:46:19,19,14242 
2025-06-07_01:46:30,33,14208 
2025-06-07_01:46:41,6,14248 
2025-06-07_01:46:52,15,14259 
2025-06-07_01:47:03,16,14259 
2025-06-07_01:47:14,52,14270 
2025-06-07_01:47:25,63,14312 
2025-06-07_01:47:36,51,14323 
2025-06-07_01:47:47,47,14309 
2025-06-07_01:47:58,39,14346 
2025-06-07_01:48:09,56,14410 
2025-06-07_01:48:20,70,14425 
2025-06-07_01:48:31,39,14448 
2025-06-07_01:48:42,70,14467 
2025-06-07_01:48:53,60,14466 
2025-06-07_01:49:04,63,14498 
2025-06-07_01:49:15,62,14521 
2025-06-07_01:49:26,57,14536 
2025-06-07_01:49:37,43,14542 
2025-06-07_01:49:48,2,14776 
2025-06-07_01:49:59,5,14760 
2025-06-07_01:50:10,2,14815 
2025-06-07_01:50:21,16,14816 
2025-06-07_01:50:32,12,14828 
2025-06-07_01:50:43,22,14416 
2025-06-07_01:50:54,63,14485 
2025-06-07_01:51:05,20,14352 
2025-06-07_01:51:16,50,14352 
2025-06-07_01:51:27,55,14333 
2025-06-07_01:51:38,60,14350 
2025-06-07_01:51:49,46,14370 
2025-06-07_01:52:00,57,14361 
2025-06-07_01:52:11,38,14390 
2025-06-07_01:52:22,59,14452 
2025-06-07_01:52:33,51,14458 
2025-06-07_01:52:44,51,14490 
2025-06-07_01:52:55,74,14524 
2025-06-07_01:53:06,59,14525 
2025-06-07_01:53:17,41,14500 
2025-06-07_01:53:28,62,14504 
2025-06-07_01:53:39,41,14494 
2025-06-07_01:53:50,1,14490 
2025-06-07_01:54:01,3,14495 
2025-06-07_01:54:12,3,14489 
2025-06-07_01:54:23,6,14510 
2025-06-07_01:54:34,4,14374 
2025-06-07_01:54:45,0,14376 
2025-06-07_01:54:56,2,14552 
2025-06-07_01:55:07,13,14586 
2025-06-07_01:55:18,26,14545 
2025-06-07_01:55:29,8,14544 
2025-06-07_01:55:40,3,13110 
2025-06-07_01:55:51,80,12787 
2025-06-07_01:56:02,80,13008 
2025-06-07_01:56:13,83,13256 
2025-06-07_01:56:24,77,13363 
2025-06-07_01:56:35,71,13456 
2025-06-07_01:56:46,6,13541 
2025-06-07_01:56:57,77,13563 
2025-06-07_01:57:08,69,13566 
2025-06-07_01:57:19,72,13615 
2025-06-07_01:57:30,68,13653 
2025-06-07_01:57:41,1,13677 
2025-06-07_01:57:52,0,13760 
2025-06-07_01:58:03,1,13777 
2025-06-07_01:58:14,76,13783 
2025-06-07_01:58:25,76,13823 
2025-06-07_01:58:36,77,13858 
2025-06-07_01:58:47,66,13874 
2025-06-07_01:58:58,79,13902 
2025-06-07_01:59:09,84,13920 
2025-06-07_01:59:20,80,13931 
2025-06-07_01:59:31,71,14058 
2025-06-07_01:59:42,76,14022 
2025-06-07_01:59:53,82,14048 
2025-06-07_02:00:04,74,14030 
2025-06-07_02:00:15,73,14035 
2025-06-07_02:00:26,80,14015 
2025-06-07_02:00:37,73,14027 
