Timestamp,CPU_Usage_Percent,RAM_Used_MB 
2025-06-07_15:24:22,3,13247 
2025-06-07_15:24:34,64,14113 
2025-06-07_15:24:45,88,14984 
2025-06-07_15:24:56,5,15000 
2025-06-07_15:25:07,19,15321 
2025-06-07_15:25:18,71,15404 
2025-06-07_15:25:29,54,15542 
2025-06-07_15:25:40,44,15435 
2025-06-07_15:25:51,2,15455 
2025-06-07_15:26:02,1,15332 
2025-06-07_15:26:13,1,15368 
2025-06-07_15:26:24,5,15448 
2025-06-07_15:26:35,1,15396 
2025-06-07_15:26:46,10,14994 
2025-06-07_15:26:57,2,15034 
2025-06-07_15:27:08,,15025 
2025-06-07_15:27:19,1,15043 
2025-06-07_15:27:30,7,15031 
2025-06-07_15:27:41,44,13678 
2025-06-07_15:27:52,23,13727 
2025-06-07_15:28:03,17,13780 
2025-06-07_15:28:14,6,13806 
2025-06-07_15:28:25,63,13839 
2025-06-07_15:28:36,15,13792 
2025-06-07_15:28:47,7,13824 
2025-06-07_15:28:58,19,13961 
2025-06-07_15:29:09,16,13947 
2025-06-07_15:29:20,65,13991 
2025-06-07_15:29:31,43,14104 
2025-06-07_15:29:42,0,13239 
2025-06-07_15:29:53,3,13369 
2025-06-07_15:30:04,0,13424 
2025-06-07_15:30:15,3,13454 
2025-06-07_15:30:26,6,13503 
2025-06-07_15:30:37,3,13493 
2025-06-07_15:30:48,4,13518 
2025-06-07_15:30:59,1,13579 
2025-06-07_15:31:10,,13579 
2025-06-07_15:31:21,4,13593 
2025-06-07_15:31:32,10,13664 
2025-06-07_15:31:43,5,13717 
2025-06-07_15:31:54,1,13720 
2025-06-07_15:32:05,3,13709 
2025-06-07_15:32:16,4,13723 
2025-06-07_15:32:27,4,13753 
2025-06-07_15:32:38,10,13711 
2025-06-07_15:32:49,9,13686 
2025-06-07_15:33:00,1,13721 
2025-06-07_15:33:11,6,13684 
2025-06-07_15:33:22,3,13660 
2025-06-07_15:33:33,6,13759 
2025-06-07_15:33:44,5,13781 
2025-06-07_15:33:55,,13987 
2025-06-07_15:34:06,4,13767 
2025-06-07_15:34:17,,13776 
2025-06-07_15:34:28,0,13921 
2025-06-07_15:34:39,2,13938 
2025-06-07_15:34:50,,13966 
2025-06-07_15:35:01,16,13968 
2025-06-07_15:35:12,29,13987 
2025-06-07_15:35:23,,13985 
2025-06-07_15:35:34,0,13947 
2025-06-07_15:35:45,0,13892 
2025-06-07_15:35:56,1,13912 
2025-06-07_15:36:07,3,13924 
2025-06-07_15:36:18,59,13750 
2025-06-07_15:36:29,76,13776 
2025-06-07_15:36:40,70,13467 
2025-06-07_15:36:51,73,13584 
2025-06-07_15:37:02,25,13945 
2025-06-07_15:37:13,62,13985 
2025-06-07_15:37:24,77,14005 
2025-06-07_15:37:35,56,14021 
2025-06-07_15:37:46,3,14085 
2025-06-07_15:37:57,,14062 
2025-06-07_15:38:08,,14202 
2025-06-07_15:38:19,79,14231 
2025-06-07_15:38:30,85,14329 
2025-06-07_15:38:41,62,14289 
2025-06-07_15:38:52,76,13980 
2025-06-07_15:39:03,51,14035 
2025-06-07_15:39:14,62,14111 
2025-06-07_15:39:25,69,14145 
2025-06-07_15:39:36,76,14149 
2025-06-07_15:39:47,69,14167 
2025-06-07_15:39:58,62,14297 
2025-06-07_15:40:09,82,14369 
2025-06-07_15:40:20,77,14402 
2025-06-07_15:40:31,71,14408 
2025-06-07_15:40:42,29,14554 
2025-06-07_15:40:53,62,14477 
2025-06-07_15:41:04,74,14469 
2025-06-07_15:41:15,81,14496 
2025-06-07_15:41:26,84,14455 
2025-06-07_15:41:37,54,14535 
2025-06-07_15:41:48,1,14527 
2025-06-07_15:41:59,1,14589 
2025-06-07_15:42:10,1,14581 
2025-06-07_15:42:21,63,14637 
2025-06-07_15:42:32,68,14643 
2025-06-07_15:42:43,56,14640 
2025-06-07_15:42:54,80,14673 
2025-06-07_15:43:05,65,14722 
2025-06-07_15:43:16,52,14761 
2025-06-07_15:43:27,87,14837 
2025-06-07_15:43:38,73,14820 
2025-06-07_15:43:49,74,14869 
2025-06-07_15:44:00,69,14916 
2025-06-07_15:44:11,68,15001 
2025-06-07_15:44:22,68,14979 
2025-06-07_15:44:33,85,15040 
2025-06-07_15:44:44,74,14943 
2025-06-07_15:44:55,65,15015 
2025-06-07_15:45:06,59,14935 
2025-06-07_15:45:17,59,14972 
2025-06-07_15:45:28,41,14990 
2025-06-07_15:45:39,80,15124 
2025-06-07_15:45:50,0,15171 
2025-06-07_15:46:01,3,15168 
2025-06-07_15:46:12,32,15152 
2025-06-07_15:46:23,16,15133 
2025-06-07_15:46:34,4,15144 
2025-06-07_15:46:45,2,15123 
2025-06-07_15:46:56,5,15123 
2025-06-07_15:47:07,32,15129 
2025-06-07_15:47:18,10,15158 
2025-06-07_15:47:29,1,15170 
2025-06-07_15:47:40,9,15205 
