Timestamp,CPU_Usage_Percent,RAM_Used_MB 
2025-06-08_00:45:16,19,10550 
2025-06-08_00:45:20,17,10696 
2025-06-08_00:45:31,80,11304 
2025-06-08_00:45:43,1,12122 
2025-06-08_00:45:55,2,12328 
2025-06-08_00:46:06,2,12323 
2025-06-08_00:46:17,3,12250 
2025-06-08_00:46:28,17,12430 
2025-06-08_00:46:39,2,12402 
2025-06-08_00:46:50,2,12493 
2025-06-08_00:47:01,5,12364 
2025-06-08_00:47:12,20,12334 
2025-06-08_00:47:23,28,12379 
2025-06-08_00:47:34,21,12322 
2025-06-08_00:47:45,36,12313 
2025-06-08_00:47:56,16,12305 
2025-06-08_00:48:07,16,12304 
2025-06-08_00:48:18,51,12377 
2025-06-08_00:48:29,31,11858 
2025-06-08_00:48:40,43,11863 
2025-06-08_00:48:51,26,11882 
2025-06-08_00:49:02,65,11902 
2025-06-08_00:49:13,44,11837 
2025-06-08_00:49:24,48,11871 
2025-06-08_00:49:35,73,11878 
2025-06-08_00:49:46,,11895 
2025-06-08_00:49:57,1,11928 
2025-06-08_00:50:08,,11974 
2025-06-08_00:50:19,15,11989 
2025-06-08_00:50:30,1,11980 
2025-06-08_00:50:41,8,12001 
2025-06-08_00:50:52,0,12056 
2025-06-08_00:51:03,3,12076 
2025-06-08_00:51:14,22,12140 
2025-06-08_00:51:25,16,12153 
2025-06-08_00:51:36,13,12171 
2025-06-08_00:51:47,5,12147 
2025-06-08_00:51:58,13,12163 
2025-06-08_00:52:09,18,12170 
2025-06-08_00:52:20,16,12203 
2025-06-08_00:52:31,38,12239 
2025-06-08_00:52:42,30,12266 
2025-06-08_00:52:53,24,12277 
2025-06-08_00:53:04,16,12277 
2025-06-08_00:53:15,59,12266 
2025-06-08_00:53:26,65,12289 
2025-06-08_00:53:37,51,12348 
2025-06-08_00:53:48,2,12327 
2025-06-08_00:53:59,,12341 
2025-06-08_00:54:10,0,12330 
2025-06-08_00:54:21,0,12358 
2025-06-08_00:54:32,18,12370 
2025-06-08_00:54:43,5,12405 
2025-06-08_00:54:54,1,12343 
2025-06-08_00:55:05,2,12441 
2025-06-08_00:55:16,23,12390 
2025-06-08_00:55:27,4,12437 
2025-06-08_00:55:38,16,12458 
2025-06-08_00:55:49,18,12405 
2025-06-08_00:56:00,10,12484 
2025-06-08_00:56:11,4,12667 
2025-06-08_00:56:22,10,12650 
2025-06-08_00:56:33,3,12714 
2025-06-08_00:56:44,1,12664 
2025-06-08_00:56:55,6,12669 
2025-06-08_00:57:06,1,12658 
2025-06-08_00:57:17,86,12800 
2025-06-08_00:57:28,71,13228 
2025-06-08_00:57:39,80,13727 
2025-06-08_00:57:50,0,14153 
2025-06-08_00:58:01,,14321 
2025-06-08_00:58:13,7,14198 
2025-06-08_00:58:24,2,14346 
2025-06-08_00:58:35,69,14160 
2025-06-08_00:58:46,71,14208 
2025-06-08_00:58:57,54,14232 
2025-06-08_00:59:08,56,14309 
2025-06-08_00:59:19,68,14329 
2025-06-08_00:59:30,69,14329 
2025-06-08_00:59:41,64,14130 
2025-06-08_00:59:52,73,14148 
2025-06-08_01:00:03,74,14238 
2025-06-08_01:00:14,60,14269 
2025-06-08_01:00:25,86,14261 
2025-06-08_01:00:36,79,14290 
2025-06-08_01:00:47,71,14256 
2025-06-08_01:00:58,65,14293 
2025-06-08_01:01:09,62,14322 
2025-06-08_01:01:20,65,14374 
2025-06-08_01:01:31,73,14383 
2025-06-08_01:01:42,2,14439 
2025-06-08_01:01:53,1,14441 
2025-06-08_01:02:04,1,14479 
2025-06-08_01:02:15,73,14485 
2025-06-08_01:02:26,57,14506 
2025-06-08_01:02:37,68,14472 
2025-06-08_01:02:48,68,14497 
2025-06-08_01:02:59,65,14527 
2025-06-08_01:03:10,72,14559 
2025-06-08_01:03:21,63,14565 
2025-06-08_01:03:32,68,14494 
2025-06-08_01:03:43,80,14508 
2025-06-08_01:03:54,71,14550 
2025-06-08_01:04:05,69,14585 
2025-06-08_01:04:16,77,14651 
2025-06-08_01:04:27,79,14703 
2025-06-08_01:04:38,70,14689 
2025-06-08_01:04:49,80,14733 
2025-06-08_01:05:00,74,14742 
2025-06-08_01:05:11,59,14822 
2025-06-08_01:05:22,76,14839 
2025-06-08_01:05:33,70,14792 
2025-06-08_01:05:44,,14838 
2025-06-08_01:05:55,2,14879 
2025-06-08_01:06:06,0,14911 
2025-06-08_01:06:17,65,14943 
2025-06-08_01:06:28,66,14980 
2025-06-08_01:06:39,56,15024 
2025-06-08_01:06:50,69,15034 
2025-06-08_01:07:01,60,15056 
2025-06-08_01:07:12,79,15090 
2025-06-08_01:07:23,74,15098 
2025-06-08_01:07:34,79,15190 
2025-06-08_01:07:45,51,15247 
2025-06-08_01:07:56,66,15218 
2025-06-08_01:08:07,71,15235 
2025-06-08_01:08:18,59,15241 
2025-06-08_01:08:29,9,15231 
2025-06-08_01:08:40,,15282 
2025-06-08_01:08:51,2,15272 
2025-06-08_01:09:02,15,15219 
2025-06-08_01:09:13,9,15181 
2025-06-08_01:09:24,6,15183 
2025-06-08_01:09:35,8,15257 
2025-06-08_01:09:46,12,15309 
2025-06-08_01:09:57,0,15325 
2025-06-08_01:10:08,,15387 
2025-06-08_01:10:19,84,15394 
2025-06-08_01:10:30,76,15393 
2025-06-08_01:10:42,73,15411 
2025-06-08_01:10:53,82,15374 
2025-06-08_01:11:05,72,15390 
2025-06-08_01:11:16,85,15395 
2025-06-08_01:11:27,71,15412 
2025-06-08_01:11:38,33,15416 
2025-06-08_01:11:49,5,15399 
2025-06-08_01:12:00,88,15467 
2025-06-08_01:12:11,80,15468 
2025-06-08_01:12:22,80,15468 
2025-06-08_01:12:33,82,15426 
2025-06-08_01:12:44,77,15423 
2025-06-08_01:12:55,85,15435 
2025-06-08_01:13:06,88,15428 
2025-06-08_01:13:17,77,15431 
2025-06-08_01:13:28,80,15418 
2025-06-08_01:13:39,90,15508 
2025-06-08_01:13:50,2,15540 
2025-06-08_01:14:01,2,15529 
2025-06-08_01:14:12,83,15536 
2025-06-08_01:14:23,80,15522 
2025-06-08_01:14:34,85,15530 
2025-06-08_01:14:45,88,15513 
2025-06-08_01:14:56,88,15509 
2025-06-08_01:15:07,88,15519 
2025-06-08_01:15:18,85,15533 
2025-06-08_01:15:29,77,15526 
2025-06-08_01:15:40,87,15523 
2025-06-08_01:15:51,79,15514 
2025-06-08_01:16:02,79,15549 
2025-06-08_01:16:13,80,15556 
2025-06-08_01:16:24,85,15546 
2025-06-08_01:16:35,87,15506 
2025-06-08_01:16:46,79,15510 
2025-06-08_01:16:57,84,15491 
2025-06-08_01:17:08,91,15512 
2025-06-08_01:17:19,87,15505 
2025-06-08_01:17:30,85,15499 
2025-06-08_01:17:41,71,15489 
2025-06-08_01:17:52,2,15498 
2025-06-08_01:18:03,1,15512 
2025-06-08_01:18:14,88,15497 
2025-06-08_01:18:25,85,15497 
2025-06-08_01:18:36,82,15524 
2025-06-08_01:18:47,88,15423 
2025-06-08_01:18:58,88,15441 
2025-06-08_01:19:09,87,15440 
2025-06-08_01:19:20,91,15433 
2025-06-08_01:19:31,93,15443 
2025-06-08_01:19:42,79,15442 
2025-06-08_01:19:53,88,15442 
2025-06-08_01:20:04,90,15466 
2025-06-08_01:20:15,82,15479 
2025-06-08_01:20:26,84,15465 
2025-06-08_01:20:37,88,15461 
2025-06-08_01:20:48,87,15463 
2025-06-08_01:20:59,88,15481 
