tpm,timestamp
233322,13:50:44
295842,13:50:54
297918,13:51:04
270666,13:51:14
22596,13:51:24
22860,13:51:34
19968,13:51:44
18990,13:51:54
19332,13:52:04
164736,13:52:14
286950,13:52:24
285720,13:52:34
290370,13:52:44
282798,13:52:54
284922,13:53:04
260160,13:53:14
270072,13:53:24
274794,13:53:34
272802,13:53:44
276804,13:53:54
278982,13:54:04
238530,13:54:14
249930,13:54:24
267924,13:54:34
269484,13:54:44
265086,13:54:54
260922,13:55:04
247158,13:55:14
255954,13:55:24
277116,13:55:34
256212,13:55:44
186360,13:55:54
165762,13:56:04
152826,13:56:14
161034,13:56:24
163854,13:56:34
167106,13:56:44
168468,13:56:54
169416,13:57:04
155730,13:57:14
156864,13:57:24
161766,13:57:34
162156,13:57:44
175854,13:57:54
258312,13:58:04
246276,13:58:15
259020,13:58:25
266256,13:58:35
267528,13:58:45
262818,13:58:55
257694,13:59:05
255066,13:59:15
283182,13:59:25
283188,13:59:35
196500,13:59:45
18,13:59:55
6,14:00:05
6,14:00:15
252,14:00:25
18,14:00:35
18,14:01:42
18,14:01:42
6,14:01:42
42,14:01:42
6,14:01:42
18,14:01:42
